,Solar Irradiation (W/m²),Temperature (°C),Humidity (%),Wind Speed (m/s)
2022-01-01 00:00:00,141.87823816321693,17.267787358704446,93.24595900026023,3.633605601837544
2022-01-01 01:00:00,147.9173529708346,13.672339446422454,70.35907066432587,2.3760765948798195
2022-01-01 02:00:00,63.09143368723313,-1.1181613100390653,79.81337913782615,5.111416687334285
2022-01-01 03:00:00,103.63907136004482,-5.271229389779613,72.73460172943052,4.103894279886237
2022-01-01 04:00:00,114.11550501239518,23.103165704043974,74.71078571396902,2.970419827399457
2022-01-01 05:00:00,74.02763393103444,17.084778230078943,73.76782581476324,3.3806390621977274
2022-01-01 06:00:00,74.8722999780162,13.336078094666739,77.22786152644845,7.641685999449296
2022-01-01 07:00:00,56.61823453586415,17.136028275546956,89.94707165876505,6.104769337592666
2022-01-01 08:00:00,210.42065037047234,3.785644487067648,88.57461667176753,0.2866061995101852
2022-01-01 09:00:00,104.39691308189265,4.480526074452856,60.12937350226535,3.5177580226704688
2022-01-01 10:00:00,42.590031186957376,7.507531319978098,69.34425415433232,2.8957317574728494
2022-01-01 11:00:00,178.7075796107866,15.465585021150137,82.86037363928783,2.968019065306654
2022-01-01 12:00:00,131.37069507421688,8.319816012588534,68.23127540753097,3.668219871772638
2022-01-01 13:00:00,164.86398191130706,8.720842653626017,79.20735663532751,6.836623649518192
2022-01-01 14:00:00,104.76295390554233,5.580387682161799,77.77647977174084,3.1725782028876255
2022-01-01 15:00:00,130.55798313335166,12.913308310008555,70.77855836422253,1.6298674850419315
2022-01-01 16:00:00,100.40311414445479,7.329893793023683,79.0359162023849,2.93368214350685
2022-01-01 17:00:00,87.43984779432424,13.769155628583935,82.28363009861528,5.392785809688655
2022-01-01 18:00:00,156.5638746782962,1.7492559593367218,81.8219454270535,6.947124991908926
2022-01-01 19:00:00,74.73134177451746,14.801407304515475,63.642778836747325,4.406637499638518
2022-01-01 20:00:00,128.53153698509678,3.791863306537472,75.17003491139228,2.9135935779769757
2022-01-01 21:00:00,104.87569106065399,13.452140336364256,70.52941648524816,3.6568898677346593
2022-01-01 22:00:00,112.30018179210701,8.484460818095751,75.9355069527752,2.0048724186472695
2022-01-01 23:00:00,113.47190498452767,7.385144407849653,74.37628579045685,2.938255879386708
2022-01-02 00:00:00,0.0,14.179167239445746,74.91388305898181,5.83918971294419
2022-01-02 01:00:00,157.59260061322087,11.130966959518503,75.96371704806893,3.597621981020331
2022-01-02 02:00:00,151.41644614552465,5.148619913032712,83.42414852951201,4.7035362422965505
2022-01-02 03:00:00,160.87246104654213,8.700837861405537,70.1123337574382,5.309154851454762
2022-01-02 04:00:00,99.2477699260574,14.513482937215787,74.04559861528944,2.4582040725307386
2022-01-02 05:00:00,156.44207429988364,11.991994755714723,83.5639413214035,4.991684629925641
2022-01-02 06:00:00,264.6930592180812,16.907286483502734,89.66974752513454,1.7081500013897801
2022-01-02 07:00:00,75.57594235745565,12.222459711322221,79.22981435794914,3.0366628077016458
2022-01-02 08:00:00,159.39808150628204,14.234893035588147,89.81006432880815,0.3237670095839702
2022-01-02 09:00:00,146.27524981786533,1.9111831173598333,75.08665639381107,4.644025841395483
